# t (s),mx (),my (),mz (),Edens_demag.region5 (J/m3),Edens_exch.region5 (J/m3),,
0,0.59405917,-0.04838438,0,8169.1855,0.0015266208,,
0,0.5948741,-0.04499021,0,8158.5645,-0.007054708,,
0,0.5956295,-0.04158234,0,8147.9673,-0.0014749796,,
0,0.59632546,-0.038161803,0,8137.398,-0.0018645622,,
0,0.5969615,-0.03472964,0,8126.859,-0.0027613516,,
0,0.59753764,-0.03128689,0,8116.355,-0.0034834319,,
0,0.59805363,-0.02783462,0,8105.889,0.002279708,,
0,0.59850925,-0.024373867,0,8095.4624,-0.01046512,,
0,0.5989043,-0.020905692,0,8085.0796,-0.00055172783,,
0,0.599239,-0.01743115,0,8074.7446,-0.006496793,,
0,0.59951276,-0.013951293,0,8064.459,-0.0088654915,,
0,0.59972584,-0.010467192,0,8054.2275,0.0028632747,,
0,0.5998782,-0.006979899,0,8044.053,-0.003293231,,
0,0.5999695,-0.003490481,0,8033.9365,-0.0092730615,,
0,0.6,-4.90E-17,0,8023.883,-0.0035483877,,
0,0.6,0,0,8023.883,-0.0035483877,,
0,0.5999695,0.0034904815,0,8013.895,-0.0092730615,,
0,0.5998782,0.006979899,0,8003.976,-0.003293231,,
0,0.59972584,0.010467192,0,7994.13,0.0028632747,,
0,0.59951276,0.013951293,0,7984.357,-0.0088654915,,
0,0.599239,0.01743115,0,7974.661,-0.0064967936,,
0,0.5989043,0.020905692,0,7965.0474,-0.0005517279,,
0,0.59850925,0.024373868,0,7955.516,-0.01046512,,
0,0.59805363,0.02783462,0,7946.0728,0.002279708,,
0,0.59753764,0.03128689,0,7936.7173,-0.0034834316,,
0,0.5969615,0.03472964,0,7927.455,-0.0027613516,,
0,0.59632546,0.038161803,0,7918.2876,-0.0018645622,,
0,0.5956296,0.04158234,0,7909.2173,-0.0014749796,,
0,0.5948741,0.04499021,0,7900.248,-0.007054707,,
0,0.59405917,0.04838438,0,7891.382,0.0015266208,,
0,0.5931852,0.051763814,0,7882.6216,-0.002965322,,
0,0.5922524,0.055127475,0,7873.9707,-0.005455257,,
0,0.59126097,0.05847434,0,7865.4316,0.0048699686,,
0,0.5902113,0.061803397,0,7857.005,0.0026691894,,
0,0.5891037,0.065113634,0,7848.6953,-0.0035113737,,
0,0.58793855,0.06840403,0,7840.5034,-0.0036510425,,
0,0.58671606,0.0716736,0,7832.4346,0.001393565,,
0,0.5854368,0.07492132,0,7824.4897,-0.00481452,,
0,0.58410096,0.07814623,0,7816.671,-0.0026957367,,
0,0.5827091,0.08134734,0,7808.982,-0.0010374418,,
0,0.5812615,0.084523655,0,7801.4224,-0.0012659241,,
0,0.57975876,0.08767424,0,7793.9966,-0.0065604933,,
0,0.5782013,0.0907981,0,7786.7075,-0.0053675007,,
0,0.5765895,0.09389432,0,7779.5557,0.00658047,,
0,0.57492393,0.09696192,0,7772.5435,-0.0045542335,,
0,0.57320505,0.1,0,7765.6733,-0.0027671696,,
0,0.5714335,0.10300761,0,7758.9478,-0.00734736,,
0,0.56960964,0.10598385,0,7752.37,-0.0032245098,,
0,0.5677341,0.10892781,0,7745.9385,-0.004826765,,
0,0.5658075,0.111838594,0,7739.659,0.0042471727,,
0,0.56383044,0.11471528,0,7733.5293,-0.0016834867,,
0,0.5618034,0.11755705,0,7727.5557,-0.0008829213,,
0,0.5597271,0.12036302,0,7721.739,0.0027104863,,
0,0.55760217,0.123132296,0,7716.0776,-0.008163843,,
0,0.5554292,0.12586407,0,7710.576,0.0021358442,,
0,0.55320895,0.12855752,0,7705.2354,-0.01166401,,
0,0.5509419,0.1312118,0,7700.0586,-0.004274557,,
0,0.548629,0.13382612,0,7695.0454,0.0016803986,,
0,0.5462708,0.13639969,0,7690.198,-0.0035359396,,
0,0.54386795,0.13893168,0,7685.519,0.00086536,,
0,0.54142135,0.14142136,0,7681.007,0.0010926719,,
0,0.53893167,0.14386797,0,7676.667,-0.0033838546,,
0,0.53639966,0.14627072,0,7672.4956,-0.006508612,,
0,0.5338261,0.14862897,0,7668.5,-0.004234567,,
0,0.53121173,0.15094192,0,7664.676,-0.008949711,,
0,0.52855754,0.1532089,0,7661.028,-0.0044151973,,
0,0.5258641,0.1554292,0,7657.5566,0.0028200508,,
0,0.52313226,0.15760216,0,7654.261,-0.0074207415,,
0,0.52036303,0.1597271,0,7651.145,-0.001516408,,
0,0.5175571,0.16180341,0,7648.208,-0.0023818312,,
0,0.51471525,0.1638304,0,7645.45,-0.0029857524,,
0,0.51183856,0.16580753,0,7642.875,0.0064916722,,
0,0.5089278,0.16773413,0,7640.4805,-0.0065098833,,
0,0.5059839,0.16960962,0,7638.268,-0.004466617,,
0,0.50300765,0.17143346,0,7636.2397,0.0011005948,,
0,0.5,0.17320509,0,7634.3926,-0.0031385368,,
0,0.4969619,0.17492396,0,7632.7324,-0.0063126246,,
0,0.49389434,0.1765895,0,7631.257,-0.000105502884,,
0,0.49079806,0.1782013,0,7629.966,-0.0037633062,,
0,0.4876743,0.1797588,0,7628.86,-0.0029777116,,
